,content
2042,"I've flown Air India on several other occasions - also in their Dreamliner from Singapore to Mumbai and this flight also did not disappoint even though in a smaller airplane.
Synonymous with air travel in India, Air India is the oldest and one of the largest airline service operators. It commenced operations in 1932 and is now part of the...
"
2043,"Flight out at night was good, with few passengers and plenty of room to spread out and lie down. Return journey was horrendous and very similar to a bus ride in India. Toilets were very quickly in a bad state and no-one of the staff made any attempt to rectify the problems. Next time I will use Virgin or BA.
"
2044,"Actually this one is a flight from Birmingham to Amritsar via Delhi. So its a big Boeing 787 aircraft and is relatively newer in the inventory of AI. Further, since it is an international flight, so you have to board through the international departure terminal at T3 (eventhough you are flying the domestic leg).
No issues there, since you just...
"
2045,"Check-in desk with dour-faced staff...got used to it. Punctuality....almost okay. In-flight food...also okay. All male crew...no problem. Impolite stewards...yes, a problem.
What's with the attitude guys? Its a service industry, so a little politeness will go a long way. I am not asking for servility, heavens no! But, instead of a cold, ""Keep your cup in the tray for tea"",...
"
2046,"I had a days trip to Rajkot, but my onward flight was delayed. We requested the Air India officials to postpone our return flight, but were sent from the check in counter to their manager then to the reservations manager and then to the customer service manager. Each putting it on the other and mentioning it was not possible as...
"
2047,"So, I have over the last few years flown on this airline quite frequently internationally and domestically. I would say over all the flights I have taken, they have some bad days too, but so do all other airlines. But there is a mindset that just because it is government controlled they are totally inefficient. They have some of the...
"
2048,"First time sending my young son of 9 years old alone(have to pay adult ticket charge for this service),and fill 4 forms either in UAE (as i booked tickets there) or at the destination(chennai).Only thing is the Airlines office could not convey any information over phone,so my inlaws went to the office and submitted a form there to confirm the...
"
2049,"I've flown many airlines over the years, but my flights on Air India were the worst I've experienced. Trash on the floor and in the seat pockets - this plane wasn't cleaned between flights. My seat was in terrible condition: the seat cushion was so worn I could easily feel the metal parts underneath, and had to ask for a...
"
2050,"Air India, India's national carries, the numero uno, before Indian Skies were open to Private Air Operators. My first experience of an Air travel was back in 1978, when I was just 15 years old, from Gauhati to Kolkata (during thos days, known as Calcutta), and if my memory is right, the fare was Rs. 170. Today, when I compare...
"
2051,"After a long time - took Air India. Was fine and a neat journey.
But the food served could have been a bit more tasty. Rest all fine and satisfactory.
"
2052,"I travelled with my family to Bangalore and back. Good service and Free Meals. Interior and seating space was good.
"
2053,"The airlines have the most experienced crew members with ample number of flying hours under their belt. The most noticeable feature is their caring nature particularly for the new travelers. .
"
2054,"Me and my son are very weary of this craft [ATR-72] because of it small size and the way propeller looks. Surprisingly the cabin is well done and seats are fine and have a single rear entrance for the passengers. There is not much room for carrying cabin luggage so better check-in all your luggage except for essential items. Meals...
"
2055,"Ticket was available from Kolkata to Shillong and so purchased online. But unfortunately, the flight was cancelled and they booked the ticket up to Guwahati airport. Then we had to go by car to Shillong. During returning, same experience rather bad was achieved. Air India people simply cancelled flight and told that they would return money. But they did not...
"
2056,"The flight was on time and the food served on the flight was good and hot. Services of the staff were good
"
2057,"Average flight to travel. Not having much leg space. Quality of food service is not very good. Flight are not confirtable but of coarse budget flight. Also cancellation facilities are available.
"
2058,"A greatly improved airline with change in attitude, service, response, food and professionalism for the better. Enjoyed the flight.
"
2059,"For both legs of our long haul flight from Paris to Melbourne at least one of us had faulty ports for our headphones so were not able to watch movies or listen to audio of any kind. When I pointed this out to the cabin attendant she was completely unhelpful and said there was nothing she could do. Transiting through...
"
2060,"In journey in AIR INDIA Airlines most memorable and safe. the management will take care of every person with utmost respect. the service is wonderful comparing to other air line services. so i prefer air india for all my air journey
"
2061,"If you have got the time to wait. Air India has a consistent problem with flight times. Going from Sydney to New Delhi was ok. Had a connecting flight to Hyderabad on domestic. Comfort factor is fine for the planes. The airline food is acceptable as we had vegetarian selection. A bit too spicy for our tastes.
The return trip...
"
2062,"The attitudes of all concerned can definitely improve along with the general cleanliness of the aircraft.
The hostess is rarely found except at the times that are scheduled for them.
Well, they must also be fed up with the attitudes and behavior of some of the passengers. Quite a few of them really mess up the aisles and especially the...
"
2063,"I have flown more than ten times in this flight, to and fro Chicago-New Delhi. I am staying in Gujarat and this flight is comfortable to me for my connecting flight to Ahmedbad. The flight duration is about 15 hours. It is generally boring and tiresome. But thanks to in-flight entertainment. Watching movies and other channels time flies. Food in...
"
2064,"All said and done, it was the only option, which is due to one of its good points.
they take 25 kilos of luggage per passenger as against 15 of others. As I was on my way to the U.S, this WAS an advantage. the other plus was its departure time which was convenient for me. The check in was...
"
2065,"On the Birmingham UK to Delhi route Air India has nearly brand new Boeing Dreamliners --fabulous airplanes. But, the carpets are already filthy and worn out, and the USB connectors in the seat backs are almost all broken -- as though someone gouged them out with a screwdriver -- unbelievable.
But, food is very good, and in-flight service is very...
"
2066,"Like all flights these days ours was a packed 777, but it is a surprisingly comfortable plane. We were served several meals and all were decent for what has become known as airline food (better on the outbound flight when provisioned in the US than the return from India) and the service during meal times was good. The attendants seemed...
"
2067,"Today I was late to arrive at airport for my flight. Checkin was closed. But the ground staff were so courteous they arranged my Checkin and I could board the flight. I was delighted and similar thing had happened thrice with me at different airports and everyone the staff helped me
"
2068,"Flight AI302 was on schedule and the crew received us and guided to our flush and more than comfortable seats. The magical windows of B787 Dreamliner were wonderful. No panes to pull up or pull down. By push of a button, the window glass gets dark and light. Super, super.
Service was excellent. Nice wine and great food. Flight attendants...
"
2069,"My trip was in May-June 2015, for some reason I couldn't get the drop down menu to offer more than a year's options. But as the flight was so worthy of a review, with this new ability on Trip Advisor to review flights, I felt my experience could not be ignored.
The business class flight was reasonably priced from London...
"
2070,"Well it was a 13 hour long flight with entertainment system not working. Well that says a lot and on top of that all effort( which was bare minimum ) to fix the entertainment system were unsuccessful.
They do not have any other seat where it is working and the arrogance of the on board staff was on the top....
"
2071,"Travelled during the busy period where people from all other the world were travelling to Delhi for the World Culture Experience. Price is quite high compared to other airlines but was satisfied with the service.
"
2072,"The air india flight we had taken at 6 am had poor service. Food was a big let down and was not value for money. While we got excellent service on our return air india flight from TRIVANDRUM to NEW DELHI. It is better to first go to trivandrum and take a return flight also from trivandrum.
"
2073,"I had booked Air India return tickets from Delhi to Vienna. The overall flight was good but the food was stale and it felt as if it was just removed from the refrigerator. The rating could have been lower had it not been for the Pilots of Air India. I experienced smoothest landing possible, which felt nice.
"
2074,"Air India fliers 787 dream liner on this route which is quiet comfortable and has good legspace in economy class . even though night flight is little uncomfortable but still its a good flight with less turbulence , smooth take off and landing . Costing a return flight from delhi at less than 500 usd is quiet good . It...
"
2075,"First of all, we flew Hong Kong to Delhi, and then Delhi to Bangalore on Business Class. The crew at check-in at HKG wasn't particularly friendly, and a tour guide with a pile of over 20 passports (they all flew Economy) was using the Business Class counter when we arrived, however we checked in soon enough. We were given free...
"
2076,"Seats are really comfortable and staff is very helpful. Entertainment system and food on flight is great. They take care of luggage very well. They have really done a great job in redoing their image, and have succeeded to a great extent too. only faced issue at check in counter .
"
2077,"This airlines is very 'famous' for its delays and apathetic service. Network of flights is good though.
"
2078,"When ever I have to travel to Kolkata I have take this flight only, it is dream liner flight, ground staff was very nice & in flight staff also taken good care. As usual food quality was so so but service was good.
"
2079,"Air India has always been the same in my experience. Being a regular traveler, with almost all the domestic airlines, i have never been happy flying Air India. The aircrafts are not well managed. The staff is almost always very cold and unfriendly. This recent experience was also the same and nothing great. But it is way better than a...
"
2080,"Had an option to fly in Indigo,jet, and AirIndia operating in that sector. Given a choice and time is suitable will always prefer full service airline. Check in is fast n smooth. asked emergency seat but not available so given an aisel seat. Also did not have a print out of ticket neither mail message so they promplty gave me...
"
2081,"My office booked me on this non-stop flight from Mumbai (BOM) to Newark (EWR) as it reaches Newark in the morning (7-8 am) and also fit their budget. There were empty seats on the (Boeing 777-300ER) flight - always a blessing to have the middle seat free. My entertainment screen was not working, but I intended to sleep through the...
"
2082,"Basic announcement for boarding, nothing fancy to mention. Food is simple and tasty. But not anything in particular.
"
2083,"The National carrier of India has not only maintained the quality of service and food but has also improved a lot and offers better service and comfort compared to all the other airlines of indian orgin. IT has more leg room than all the other airlines and the staff is very friendly
"
2084,"Used to live in India, and flew Air India a few times to various locations (internal flights). The best way to describe this airline is hit-and-miss as you don't really know what you'll get; it'll either be a really good flight, or not-so-good (sharp descents during landing).
Food is ok, but whilst flying on the above mentioned flight actually found...
"
2085,"This was a connecting flight via Mumbai. Flight condition was just OK and the overall service provided by the airline was also OK.
I was expecting more better service from Air India at least for International flights.
"
2086,"Air India has been constantly improving. The service was good and staff were polite.
The food quality is also good.
"
2087,"One only little worry about Air India is DELAY otherwise it's fantastic in all categories like leg space ,cleanness ,food and receiving
"
2088,"Best Service and On time performance and Excellent food. One of the best airlines in India and abroad.
"
2089,"I loved the Super cool ambience of the Dreamliner but the landing was a beautiful surprise!!! Though I was watching from my window seat never did I realise that the plane had touched the ground..... So beautiful & smooth was the landing
"
2090,"The worst flight I ever took!!! I went to China and then India for a wedding/vacation. So long flights do not bother me. First off, the new delhi airport was awful!! Security was crazy to the point of my fiancé could not walk me into the airport and you needed proof of your ticket with your id for a flight...
"
2091,"Choose this airline only when you dont have any other choice. It starts from the behaviour of Ground Staff, goes all the way inside the craft as well. The planes might be new but the pathetic attitude is as old as the airline. Add to that the horrible in flight experience, rude staff who feel they are doing a favour...
"
2092,"I've travel a lot but this was my first time in Air India. The Flight was okay. Food was nothing great! Compared to other airlines there is still a lot of improvement Air India needs.
"
2093,"Comfortable seats and excellent service coupled with the most enjoyable lounge facility at the Bangalore airport made this a memorable journey.
"
2094,"Always feel like experiencing a homely hospitality.
Right from cabinstaffs to check in counter to F&B undoubtedly the best.
Yes punctuality wise it's a 50:50 anytime... If you get on time then a good experience Else if you are running sort of time then yes an average for you
"
2095,"An average airline which provides all the basic facilities incl meals on all flights. Except for the lowest fare, rest of the fares are expensive. If you compare pricing to cleanliness, interiors of aircraft, crew turnout, quality of service, check-in experience, punctuality etc its just average as private airlines are way ahead in overall experience and satisfaction. In-flight entertainment system...
"
2096,"Was given conflicting information about transfer hotel voucher on this return flight to Sydney. On way over were given a voucher so enquired if the same would happen on return. Was told yes as our flight/transit time again fulfilled the criteria. But on arrival in Delhi at 1 a.m. local time nobody knew the 'story' & left us waiting for...
"
2097,"I have mixed feeling about the airlines. The service I received was impeccable with the staff at the London airport ensuring I got a flight and moved me to Jet Airways Business class. From check in to arriving at delhi airport whereby I had a staff member meet me and transfer me to Air India so I could catch the...
"
2098,"I have not been a fan of Air India since quite some time now due to bad past experience. But due to the fact that grants are only paid when you travel from Air India, it's a necessity at times. Delays are a part and parcel of flying so I have learnt to have my peace with it. But what...
"
2099,"While the in flight experience is not that bad, but the ground staff and commitment of the airlines is horrible. Even when we arrived 2hours 15 minutes before the checkin for a domestic flight. The staff rejected taking us on board saying that we missed our flight. And we will have to book another flight. I don't know why they...
"
2100,"Air India delighted me, surprisingly !!I was really prepared for some bad and clumsy experience, owing to the name and fame Air India has earned in the recent years; but CONTRARILY, they showed some really awesome, friendly, state-of-the-art, professional and cool attitude alongwith the excellent service and endeavors. They first of all, greeted me nicely at the booking counters, followed...
"
2101,"Great Experience every time flying with Air India. Seats are really comfortable and staff is very helpful. Entertainment system and food on flight is great. Only issue is some times flight gets delayed by 2 to 3 hrs.
They take care of luggage very well.
"
2102,"Good to travel in air india. service is good. helpful cabin crew. food is very tasty and staff also good
"
2103,"Don't Book any ATR Flight. Really bad flight, poor quality and uncomfortable. Try to book Air Bus for this route.
"
2104,"The flight experience was too good. Crew is soft spoken and understanding. Snacks was fresh and testy. When the flight was late , the airlines served the snacks twice. Appreciating.
"
2105,"For some time, I was not using Air India as I was in anticipation of regular late arrivals but when I took the flight, it proved me wrong. Great leg room, nice food etc. Net...net good experience. I wish their counter staff become bit faster in their work
"
2106,"Going by the Newspaper Articles that Air India revival its key that Staff at ground Level also needs to be motivated to services better. India is know for its services but its really sad to see Air India servicing its patrons in a pathetic way. Hope ground Staff will understand this and will contribute.
"
2107,"The check-in process is nothing much to write about , they are always crowded and you have to wait your turn. The lack of professionalism starts from their unrealistic timings printed on the boarding pass- The time for boarding to start is atleast 20 min later to what is printed. The boarding is not done seat wise , even if...
"
2108,"This is the first journey it was very good and the air hostes are also treated very well, it is the cheap and best trip between chennai and bangalore when we compare to other flights in this route.
"
2109,"warm staff and good facilities but the flight is almost delayed every time so i would call it a lousy timing as the company getting so many preferences and benefits in comparison with others and with such hefty fares should live up to the expectations. but otherwise the food and staff is nice
"
2110,"Great , Before Time Experience -Never Expected from AIR INDIA - Door was Closed 25 Minutes before Departure Time and Reached Destination 40 Minutes before Time , what to Expect More ?- In this Short Duration , Very Tasty Snacks were Quickly served which were of High Quality - Great Air India , Keep it up
"
2111,"Airline is reliable when it comes to international trips but they seriously need to ramp up their service. When I gone on a leisure trip to Singapore, they didn't serve drinks at all even though there was no turbulence, when asked, the revert was - ""will you drink, sleep"". Food was cold but taste was good.
Airport staff is too...
"
2112,"The stuff that dreams are made of.... Well it is wake up time. AI has become domesticated but still some flights which connect to the International ones leave from the International terminal of T3 in Delhi. So prepare for the longer walk through the maze of Dollar priced Duty Free shops. The flight was delayed but the small meal was...
"
2113,"This was second time i was flying with Air India early morning flight. First time experience was good. But when on 13th July we reached airport there was mess at boarding. It was mentioned ""All Flights"" the staff were not sure about it. The queue was not moving at all. Domestic and Intl all mixed up. After few minutes the...
"
2114,"Been using Thai Airways & Singapore Airlines on this route for over a decade, so thought I'd give Air India a shot.
One cannot afford to have high expectation levels here because the price is more than half compared to the S.E.Asian airlines ! The aircraft was a Dreamliner, so seat comfort was pretty much the same as on other...
"
2115,"With great trepidation I opted for our national carrier but I was pleasantly surprised at the efficiency, courtesy and punctuality of the airlines. The newly introduced Delhi-Vienna flight three times a week is at an extremely affordable price and considering Vienna's proximity to east european capitals, which I was travelling to, this flight is a great option. At 7 hours...
"
2116,"1. Air hostess spills the drink and brushes the tray against my arm No apologies
2. Slow, dumb response of inflight entertainment
3. Remote buttons missing
4. No response to light off button.. 'ON' only. Same with power button... 'OFF' ok but 'ON' is a pain
5. Handrest broken, falls down and freely moves in-out
6. Trash not cleared from...
"
2117,"air India air ways ia the best air ways from India to all over places, i travel to Malaysia at best price and best quality and best service and best timing. its maintain good timing and airhosters are so polite and good ,and well maintenance.
"
2118,"Besides the commodity of offering 25 K free baggage allowance, I found this company always reliable, company that I have been travelling with for several years when in India. As the domestic flights have been more or less of short duration, I cannot add much about food and beverages. It's snacks and juice.
"
2119,"Flight was fine, relatively smooth, crew people not very tidy, food moderate, quantity not adequate. Anyway arrived safely.
"
2120,"i just could not believe that i was actually sitting in an Air India flight and yes it starts from london at 9.30 pm so you have whole day to yourself to utilise your day and i did the same thinking since it is an Air India flight and i mustier myself and have my dinner before i get to...
"
2121,"To be very honest, I booked this flight because of the cheap fare during the AirIndia sale. After boarding the flight, I noticed that the seat supports were corroded, the lights above had dust stuck to them. The in-flight entertainment consoles on the hand rest weren't working and in fact, the buttons weren't there. They were broken.
The AC wasn't...
"
2122,"Air india has a good and covenient flight to Tirupati. The timing was good for an overnight stay with Darshans. The only thing I always face with Air India is that while checking In at any Airport in India there seems no discipline in the check in process and there virtually is no queing system and you need to hustle...
"
2123,"Went to mumbai via air india along with my wife. The flight was fine and the meal was included but the food was not at all good. Its better to give some sandwiches rather than the what so call ""meal"". However as the flight was around 2 hrs only it hardly makes a difference. But still the interiors etc needs...
"
2124,"Flight was boarded on time,but had to wait for a full hour due to a crew member not reaching on time,thanks to a cloudburst.Announcement said delay due to bad weather!Flight was a stretch due to few passengers,no blankets provided though.Snax in a box,very quiet flight.Captain was informative about the li up border line when we flew over India and Pakistan...
"
2125,"Do not be mis-led by the grand Maharaja mascot - the service experience with Air India is far from it.
From the poorly designed and dysfunctional website, inefficient and slow check-in experience to poor onboarding process and a disappointing inflight experience, it is a sham all the way through.
I have faced instances where the departure time for an early...
"
2126,"The flight itself was very good, on air foods and beverages are good. No problem with leg space as other private air carrier. But punctuality should be a concern.
"
2127,"Flying experience was Average with services being pretty normal . I had to choose Air India as I had more luggage and Air India allowed 25 kgs of Free baggage Allowance .
"
2128,"The journey from Delhi to Kolkata in a Dreamliner was pleasant and comfortable. However, at Delhi, our luggage was checked in upto Dhaka but boarding passes were given only upto Kolkata. This created lot of hassles at Kolkata which could have been avoided. The tickets were booked on mobile and it was discovered that luggage allowance printed on tickets was...
"
2129,"I had many bad experiences in the past flying Air India. Back then, there was not much choice. I had decided not to fly Air India again, but I had to take this flight because of an emergency situation. I was surprised by the improvement in the in-flight service. The food was not great - but OK. Flight was not...
"
2130,"I have travelled Air-India a couple of times but never faced delay. Though I have heard horrendous tales of their ill-treatment to flyers, I haven't faced the same. Rather they were really kind to put me in a flight I would have missed cause of the taxi driver!
They also have an awesome range of in flight entertainment.
Though the...
"
2131,"2 and 1/2 hour flight, Good service, No hassles in check in, smooth take off and landing. No entertainment.
"
2132,"I have heard so many bad things about this government owned air line that I took the flight very reluctantly.The last time I travelled by this air line was in 1985 from Nairobi to Bombay . The reason was because this was the only convenient flight for me to reach Pune by evening. When we reached the air port there...
"
2133,"Flight was on time, actually 10 min ahead of schedule, food was hot and quality was good surprisingly. I am satisfied as a passenger.
"
2134,"The National career offers Dreamliner which is an experience in itself. The saets are comfortable with music and television channels to ensure that your journey is comfortable. Occasionally a few glitches may occur in any of the flights but the same is highlighted in the media out of proportion because of ulterior motives. But be rest assured Air India is...
"
2135,"Not a nice experience. The airplanes seem to fall apart. The flighgt attendants are not amused at all and its dirty everwhere. Try to avoid this airline.
"
2136,"The flight was fully booked and my sit was exactly in the middle of the the plane.
The cabin crew have started to deliver dinner and drinks from 2 places at the same time- from the front and from the back.Good right? well- NO!
By the time they got to me there was no food left and I only got...
"
2137,"I heard about bad services from Air/5 India,but was in for pleasant surprise..food was real delicious..cleanliness was up to mark..hostesses always served involving themselves..time wise it was punctual..toilets were clean and hygienic..so 5/5!
"
2138,"I flew with Air India from Pune to Goa with my family. It was the first time we were flying with our baby.
Punctuality: The flight was on time throughout.
Ground and on-board service: Air India's service is not as great as other airlines but they are trying to catch up, something that was quite evident from their behaviour. On...
"
2139,"I have traveled all over Indian airports from Srinagar to Port Blair, Vadodara to Kolkata. And all of them have been in private airlines like Indigo, SpiceJet, GoAir, Jet Airways. This was the first time I was travelling in an Air India flight that too in a brand new Boeing 787 Dreamliner from Kolkata to Delhi. But alas my first...
"
2140,"Lot more improvement seen in service and timing after joining star alliance. Also I appreciate them upon obtaining 3 stars. Still lot of scope for improvements. They can think of using young fleets. They can think of providing chauffeur drive service to the business and first class passengers.
"
2141,"We took a flight of Air India from Ahmedabad. Flight from Ahmedabad to Mumbai was not proper. From Mumbai to Singapore was very good flight. It looked like new.
It was on schedule from all location.
Good Food & good in flight movies and etc.
"
2142,"Overall good experience. Flight was on time. Staff was courteous. For a change flight was clean and appeared to be new. Condition of seats was excellent. Complimentary water and juices were provided, No extra charge for meals. Inflight entertainment has lot of choice. Unlike other airline charging same fare, charge extra for water bottle as well. Taxi service to /from...
"
2143,"The main reason for taking this flight (and the return flight) was the daytime service. on Economy flights, I prefer day flights rather than
"
2144,"The flight was right time, The inside service was good, Inside the flight there was TV in front of each seat. The food quality was also very good
"
2145,"Always been travelling by Air India since the last 20 years and have not been a major disappointment except a solitary incident. The change in flight schedule was well informed so that i could delay reaching the airport
"
2146,"The service in the plane was very good. We had enough space for our legs. The plane was not full, and so we could use 3 seats for 2 persons.
The flight was in time and we had a nice time on board.
"
2147,"Booked the ticket just 5 days before journey and at lower price. Experience was very good. Frankly speaking I've not expected such good service from Air India.
"
2148,"I have flown with air India many times now and have never been disappointed, the cabin crew are constantly making sure all is ok and have a great customer service, nothing is ever to much, in flight meal was good and plenty of drinks coming regularly. Very happy and smiling cabin crew throughout long haul flight, I will and am...
"
2149,"The flight was on time; Food was good; There was no issue with the Entertainment system; Service was pleasant - at the ground and on air. Nothing exceptional, but nothing to complain about either.
"
2150,"Flew on their new dreamliner aircraft which has really amazing legroom and a nice array of in flight entertainment options. the food and beverage was efficient and beverage top ups were given without any fuss.
"
2151,"It was international flight going to New York via Delhi
Very comfortable flight with loads leg space and overhead baggage compartment
Inflight entertainment was pretty good so problem in passing time
Food was also hot and tastely
overall good 110 minutes time
"
2152,"Overall Good., The new airlines has more leg space. Food is served hot. Staff is well mannered. Although there is no inflight entertianment, you must try the window seats, They have more space to seat rather than the other two.
"
2153,"it was not as bad as people keep complaining, In fact I would say it was pretty okay there were no hassles at any point of time
"
2154,"This Dreamliner was very silent plane, engine noise was low as compare to other aircraft. Flight was delayed. Average leg room and seats, service was average, there was not good entertainment option. Only good thing was the discounted fare. Thats it, don't expect much at a cheaper rate.
"
2155,"Thank God the flight left on time and reached in time and I think I think they need a CEO who is more customer focused.The staff are good till they realize their potential.
Baggage comes little late at the Jodhpur Airport.
"
2156,"It was a yucky experience. During the previous journey of the aircraft some passenger might have got sick and threw up on the seat. The seat was not cleaned properly (it was still wet and had vomit marks), the staff just sprayed air freshener.
Cannot understand why Air India cannot keep sickness bags in the seat back-pockets.
even the food...
"
2157,"Many of my Indian friends warned me against this airline. Boarding was efficient and fast. Ground staff are friendly. There is no in flight entertainment. Food is okay. Leg room okay. Air hostesses are slightly clumsy spilling tea, coffee, water on passengers. There was no turbulence. The seats were dirty.
"
2158,"Its really pleasent experience.The staff was courteous.we enjoyed the flight.Short and good in time flight.
"
2159,"The cabin was very dirty.. there were used water bottles lying on the floor. In fact someone had put their used coffee cup in the back-pocket of the seat. The reading material was in terrible condition too.
when I called the staff (by pushing the call button) they took their own sweet time to attend. the most horrifying thing was...
"
2160,"Flight was really bad, seats were broken, no infotainment, even the air hostess are really rude, specially with people who cant speak Hindi or English, if Air India doest was passenger who dont speak hind or English they have to inform at the time booking ticket, because lots of maids specially from south India travels in the airline from kuwait,...
"
2161,"We had very nice experience. In fact we were slightly delayed i.e.reached airport just half an hour before flight take off. But the counter staff was very accomodative as we didn't have any check in baggage.Even before entering the plane when the staff was observed that we r senior citizens they offered a seat and promptly gv water.Excellent experience
"
2162,"I had flights with Air India from Frankfurt 3 times and I was always very happy with this airline. I mostly liked the indian atmosphere there. Indian food was tasty, Bollywood movies and music gave good feelings and between all the India people my holidays started already in Germany.The seats were comfortable and service was good.The plane was right in...
"
2163,"I had a terrible experience flying Air India this Monday.
I had booked the 5:00 PM flight from Mumbai to Delhi for 1st August 2016. On 31st July I received an SMS from the airline that my flight had been pushed to 6:00 PM followed by a call from them. When I asked for the ticket to be cancelled or...
"
2164,"Flying with Air India for last 24 years. Never ever i found this airline on time departure or arrival. Check in process takes so much of time at airports all over India. You will see long long queues for check in. No system of allotment of seats. They will never honour or listen your request. No announcement about delayed departures....
"
2165,"Traveled from delhi the pune the other day. The flight left on time, landed on time and the food served was good. The only complaint is that the hostesses did not think it necessary to smile while attending to us. Pressing the call bell got a response of ""YES"" .The least they could have done is add please to it....
"
2166,"Always expect the cabin screw to be almost 45yrs + and not that helpfull to passengers. On top of it they will show you attitude as if they are some VVIP type of people.
"
2167,"I booked to start my vacation end to end till Chandigarh. I had very pleasant experience and flight was on time, meals were served and for some reason I liked the bright colors interior as well.
Overall good experience for me.
"
2168,"I was travelling with whole family including my infant baby for leisure trip to mumbai. AI staff was so supportive during check in and boarding, their in-flight crew were also good fellows. Though flight was delayed a bit but still our experience was good enough.
"
2169,"Inordinate delay. The flight arrived IGIA at T3 from Dubai very late. Horrible service. As if obliging passengers to take them to the destination. It was well past lunch time. Food service was awful too. They could not search and serve a meal even from their own menu. Reminded me of a similar service on a different flight from IGIA...
"
2170,"There are reasons to be grateful for this flight that now flies regularly between the two cities cutting an 8 hour overnight train ride to a less than two hour flight. The flight was reasonable full and took off and landed on time. The snacks were pretty decent. Air India always has good announcements unlike private Indian airlines where the...
"
2171,"Initially I was worried for ontime performance for my flight from Delhi to Kochi based on flight history for which I contacted airline as well. They assured me for ontime performance and on the day of flight, it was actually ontime. So i was impressed with the customer care team commitment and flight experience
"
2172,"One of the best Airlines, which I had much apprehension to fly Air India. Apart from the airport experience, overall, the experience is fantastic. This airline has one of the best aircraft's in the world. Even the economy class has very good leg space, food is awesome and entertainment options are good too.
Overall I loved the experience and may...
"
2173,"The flight was two columns of three seats each - very comfortable. Food served was too good. The only disappointment was the hospitality - though there were 4 - 5 air hostess, they were not able to cater to passenger requests. I was traveling with a baby so had asked for a blanket. I had got the blanket after one...
"
2174,"Before One year me and my wife went to Singapore, for visit that time we had booked Air India Flight, Our Overall Experience was good, Flight Was Punctual at Take off and landing to Singapore on perfect time, nice services from crew members from airlines and ground staff too. Happy to book a trip via Air India Airlines.
"
2175,"I avoid flying Air India as far as possible.
I use it only if either there are no other airlines flying or if no tkts. are available in other airlines.
I would rather fly low cost carriers like Go Air & Spice Jet then fly Air India.
This flight lived upto the poor standard.
It was late by almost 45...
"
2176,"both the cities are in kerala,south india and travel time is 30 mins but i travelled flight is very big having 4 engines, the flight length is 70.7 mtrs and its height is 19.6 mtrs having the wing span of 64.4 mtrs. i very much enjoyed while travelling in this flight and it has the typical seating of 12/28/385.
"
2177,"I am frequent flyer with Air India, and recently I am flying more of this airline due to the following : its mostly on time, affordable, provides decent food and most importantly, in case required, I can carry more luggage, without additional costs !
"
2178,"I booked Air India flights many months in advance and about a month before the flight they cancelled my confirmed air tickets without any explanation and didn't even give me an alternate flight.
It even took them 4 months to return my money that's too after a lot of communication. It's one of the worst airlines and not trustworthy at...
"
2179,"it was a religious pilgrimage tour with family, check in and departure on schedule. also air india offers free in flight food/snacks. which will be added advantage over other airlines.
"
2180,"Despite some bad reviews about the airline, I've always had good experience with the carrier. The check-in was fast enough. The aircraft good, the food decent, the inflight entertainment good enough.
While flying to Frankfurt with a small child, I had a comfortable flight (as comfortable as economy can get). Maybe because the flight was just 50-60% full and everyone...
"
2181,"I have not expected such a food from an airline, I would say the food was really awesome. Other thing is I'm always happy with the legroom in Air India flights. But flight was delayed by half an hour, which is always a trouble especially in the night flights.
"
2182,"They made to wait for an hour after boarding to takeoff as the staff refused to go on duty. Terrible experience it was. Just cursed myself for choosing the one over other available options.
Never recommend to any one.
"
2183,"All the bad publicity being given to Air India is unjustified!! Recently travelled with my wife from HK-BOM (July 18). Checkin was systematic and quick. Thoroughly enjoyable flight. The steward was neither indifferent nor fawning, but thorough and businesslike in his customer interactions. When I booked the ticket three months back, I had specially mentioned that I wanted bland non-veg...
"
2184,"As I had to take a day flight and no other option was available I booked Air India. I was travelling on this airlines after a long time but did not find any change/improvements. Since it was a short duration flight, a light snack was served which lacked both quality and quantity since it was lunch time for most travelers....
"
2185,"It is a well maintained flight with grumpy staff to make you feel uncomfortable trough out your journey.
Check in - No much trouble
Food - excellent options and taste is great
Leg room - Little cramped. Cant expect more than that for economy
Staff (Air hostess) - Not helpful at all. No smile on staff face where you think...
"
2186,"Flight was without any incident, food was good, boarding was smooth. Service was also good. Though the screens were available, there was no in flight entertainment.
"
2187,"Flight was delayed by half an hour due to technical problem, in the boarding the airline crew in charge of boarding was very rude and impatient, after that the flight was smooth, In flight entertainment was available, which was a surprise as this was domestic flight. Food was great. Overall except for staff's rudeness everthing was as it supposed to...
"
2188,"One had heard a lot of horror stories about Air India. However when we planned a holiday in Vienna and neighbouring areas we immediately went with Air India as they had introduced a direct flight. We booked our tickets on their website without any hitch. The check in and baggage formalities were smooth. The fairly new Dreamliner was neat and...
"
2189,"I always prefer to travel in Air India. They are good in maintaining time, reasonable fare(If booked well in advance), Good food, average hospitality and cleanliness. Now a days there is lot of competitions by private players in the name of ""low cost"". Bur during booking only you will come to know that each and every thing is chargeable. Right...
"
2190,"The Dreamliner Business Class on Air India is really great. The lounge style chairs which become flatbeds are super comfortable. The fit out is one of the nicest business class I have seen.
The price was also very reasonable.
The in-flight service was really fabulous. The flight attendants were all really wonderful. The food was also great, and it was...
"
